Name,Gender,Country,Continent,Birthday
Vladislav Volkov,Male,Russia,Europe,23-11-1935
Vyacheslav Zudov,Male,Russia,Europe,08-01-1942
Wally Schirra,Male,United States,North America,12-03-1923
Walter Cunningham,Male,United States,North America,16-03-1932
Wang Yaping,Female,China,Asia,27-01-1980
Wendy Lawrence,Female,United States,North America,02-07-1959
William Anders,Male,United States,North America,17-10-1933
William B. Lenoir,Male,United States,North America,14-03-1939
William C. McCool,Male,United States,North America,23-09-1961
William Frederick Fisher,Male,United States,North America,01-04-1946
William Gregory,Male,United States,North America,14-05-1957
William Oefelein,Male,United States,North America,29-03-1965
William Pailes,Male,United States,North America,26-06-1952
William Pogue,Male,United States,North America,23-01-1930
William Readdy,Male,United States,North America,24-01-1952
William S. McArthur,Male,United States,North America,26-07-1951
William Shepherd,Male,United States,North America,26-07-1949
William Thornton,Male,United States,North America,14-04-1929
Winston Scott,Male,United States,North America,06-08-1950
Wubbo Ockels,Male,Netherlands,Europe,28-03-1946
Yang Liwei,Male,China,Asia,21-06-1965
Yelena Kondakova,Female,Russia,Europe,30-03-1957
Yelena Serova,Female,Russia,Europe,22-04-1976
Yevgeny Khrunov,Male,Russia,Europe,10-09-1933
Yi So-yeon,Female,South Korea,Asia,02-06-1978
Yuri Artyukhin,Male,Russia,Europe,22-06-1930
Yuri Baturin,Male,Russia,Europe,12-06-1949
Yuri Gagarin,Male,Russia,Europe,09-03-1934
Yuri Gidzenko,Male,Russia,Europe,26-03-1962
Yuri Glazkov,Male,Russia,Europe,02-10-1939
Yuri Lonchakov,Male,Russia,Europe,04-03-1965
Yuri Malenchenko,Male,Russia,Europe,22-12-1961
Yuri Malyshev,Male,Russia,Europe,27-08-1941
Yuri Onufrienko,Male,Russia,Europe,06-02-1961
Yuri Romanenko,Male,Russia,Europe,12-10-1941
Yuri Shargin,Male,Russia,Europe,20-03-1960
Yury Usachov,Male,Russia,Europe,09-10-1957
Zhai Zhigang,Male,China,Asia,10-10-1966
Zhang Xiaoguang,Male,China,Asia,01-05-1966
